Nationality,Latitude,Longitude
ITA,41.87194,12.56738
ARG,-38.416097,-63.616672
FRA,46.603354,1.888334
USA,37.09024,-95.712891
THA,15.870032,100.992541
GBR,55.378051,-3.435973
MON,43.750298,7.412841
SUI,46.818188,8.227512
BEL,50.503887,4.469936
DEU,51.165691,10.451526
ESP,40.463667,-3.74922
BRA,-14.235004,-51.92528
AUS,-25.274398,133.775136
SWE,60.128161,18.643501
NZL,-40.900557,174.885971
ZAF,-30.559482,22.937506
MEX,23.634501,-102.552784
NED,52.132633,5.291266
POR,39.399872,-8.224454
CAN,56.130366,-106.346771
RHO,-19.015438,29.154857
AUT,47.516231,14.550072
IRL,53.41291,-8.24389
FIN,61.92411,25.748151
CHI,-35.675147,-71.542969
VEN,6.42375,-66.58973
JPN,36.204824,138.252924
DEN,56.26392,9.501785
COL,4.570868,-74.297333
MAS,4.210484,101.975766
HUN,47.162494,19.503304
IND,20.593684,78.96288
POL,51.919438,19.145136
RUS,61.52401,105.318756
INA,-0.789275,113.921327
RAF,30.0,70.0
CHN,35.86166,104.195397
