Grand Prix,Driver,Car,Time,Name Code,Country Code,Latitude,Longitude
Great Britain,Nino  Farina ,Alfa Romeo,1:50.600,FAR,GBR,52.0786,-1.0169
Monaco,Juan Manuel  Fangio ,Alfa Romeo,1:51.000,FAN,MON,43.7347,7.4206
Switzerland,Nino  Farina ,Alfa Romeo,2:41.600,FAR,SUI,47.3769,8.5417
Belgium,Nino  Farina ,Alfa Romeo,4:34.100,FAR,BEL,50.4372,5.9714
France,Juan Manuel  Fangio ,Alfa Romeo,2:35.600,FAN,FRA,43.2509,5.7901
Italy,Juan Manuel  Fangio ,Alfa Romeo,2:00.000,FAN,ITA,44.3406,11.7161
Switzerland,Juan Manuel  Fangio ,Alfa Romeo,2:51.100,FAN,SUI,47.3769,8.5417
Indianapolis 500,Lee  Wallard ,Kurtis Kraft Offenhauser,1:07.260,WAL,USA,39.795,-86.235
Belgium,Juan Manuel  Fangio ,Alfa Romeo,4:22.100,FAN,BEL,50.4372,5.9714
France,Juan Manuel  Fangio ,Alfa Romeo,2:27.800,FAN,FRA,43.2509,5.7901
Great Britain,Nino  Farina ,Alfa Romeo,1:44.000,FAR,GBR,52.0786,-1.0169
Germany,Juan Manuel  Fangio ,Alfa Romeo,9:55.800,FAN,DEU,49.3276,8.5625
Italy,Nino  Farina ,Alfa Romeo,1:56.500,FAR,ITA,44.3406,11.7161
Spain,Juan Manuel  Fangio ,Alfa Romeo,2:16.930,FAN,ESP,41.57,2.2615
Switzerland,Piero Taruffi ,Ferrari,2:49.100,TAR,SUI,47.3769,8.5417
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.600,VUK,USA,39.795,-86.235
Belgium,Alberto  Ascari ,Ferrari,4:55.000,ASC,BEL,50.4372,5.9714
France,Alberto  Ascari ,Ferrari,2:17.300,ASC,FRA,43.2509,5.7901
Great Britain,Alberto  Ascari ,Ferrari,1:52.000,ASC,GBR,52.0786,-1.0169
Germany,Alberto  Ascari ,Ferrari,10:05.100,ASC,DEU,49.3276,8.5625
Netherlands,Alberto  Ascari ,Ferrari,1:49.800,ASC,NED,52.3888,4.5409
Italy,Alberto  Ascari ,Ferrari,2:06.100,ASC,ITA,44.3406,11.7161
Argentina,Alberto  Ascari ,Ferrari,1:48.400,ASC,ARG,-34.6466,-58.3876
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.240,VUK,USA,39.795,-86.235
Netherlands,Luigi Villoresi ,Ferrari,1:52.800,VIL,NED,52.3888,4.5409
Belgium,Jose Froilan  Gonzalez ,Maserati,4:34.000,GON,BEL,50.4372,5.9714
France,Juan Manuel  Fangio ,Maserati,2:41.100,FAN,FRA,43.2509,5.7901
Great Britain,Alberto  Ascari ,Ferrari,1:50.000,ASC,GBR,52.0786,-1.0169
Germany,Alberto  Ascari ,Ferrari,9:56.000,ASC,DEU,49.3276,8.5625
Switzerland,Alberto  Ascari ,Ferrari,2:41.300,ASC,SUI,47.3769,8.5417
Italy,Juan Manuel  Fangio ,Maserati,2:04.500,FAN,ITA,44.3406,11.7161
Argentina,Jose Froilan  Gonzalez ,Ferrari,1:48.200,GON,ARG,-34.6466,-58.3876
Indianapolis 500,Jack  McGrath ,Kurtis Kraft Offenhauser,1:04.040,MCG,USA,39.795,-86.235
Belgium,Juan Manuel  Fangio ,Maserati,4:25.500,FAN,BEL,50.4372,5.9714
France,Hans Herrmann ,Mercedes-Benz,2:32.900,HER,FRA,43.2509,5.7901
Great Britain,Alberto  Ascari ,Maserati,1:50.000,ASC,GBR,52.0786,-1.0169
Germany,Karl  Kling ,Mercedes-Benz,9:55.100,KLI,DEU,49.3276,8.5625
Switzerland,Juan Manuel  Fangio ,Mercedes-Benz,2:39.700,FAN,SUI,47.3769,8.5417
Italy,Jose Froilan  Gonzalez ,Ferrari,2:00.800,GON,ITA,44.3406,11.7161
Spain,Alberto  Ascari ,Lancia,2:20.400,ASC,ESP,41.57,2.2615
Argentina,Juan Manuel  Fangio ,Mercedes-Benz,1:48.300,FAN,ARG,-34.6466,-58.3876
Monaco,Juan Manuel  Fangio ,Mercedes-Benz,1:42.400,FAN,MON,43.7347,7.4206
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:03.670,VUK,USA,39.795,-86.235
Belgium,Juan Manuel  Fangio ,Mercedes-Benz,4:20.600,FAN,BEL,50.4372,5.9714
Netherlands,Roberto  Mieres ,Maserati,1:40.900,MIE,NED,52.3888,4.5409
Great Britain,Stirling  Moss ,Mercedes-Benz,2:00.400,MOS,GBR,52.0786,-1.0169
Italy,Stirling  Moss ,Mercedes-Benz,2:46.900,MOS,ITA,44.3406,11.7161
Argentina,Juan Manuel  Fangio ,Ferrari,1:45.300,FAN,ARG,-34.6466,-58.3876
Monaco,Juan Manuel  Fangio ,Ferrari,1:44.400,FAN,MON,43.7347,7.4206
Indianapolis 500,Paul  Russo ,Kurtis Kraft Novi,1:02.320,RUS,USA,39.795,-86.235
Belgium,Stirling  Moss ,Maserati,4:14.700,MOS,BEL,50.4372,5.9714
France,Juan Manuel  Fangio ,Ferrari,2:25.800,FAN,FRA,43.2509,5.7901
Great Britain,Stirling  Moss ,Maserati,1:43.200,MOS,GBR,52.0786,-1.0169
Germany,Juan Manuel  Fangio ,Ferrari,9:41.600,FAN,DEU,49.3276,8.5625
Italy,Stirling  Moss ,Maserati,2:45.500,MOS,ITA,44.3406,11.7161
Argentina,Stirling  Moss ,Maserati,1:44.700,MOS,ARG,-34.6466,-58.3876
Monaco,Juan Manuel  Fangio ,Maserati,1:45.600,FAN,MON,43.7347,7.4206
Indianapolis 500,Jim  Rathmann ,Epperly Offenhauser,1:02.750,RAT,USA,39.795,-86.235
France,Luigi  Musso ,Ferrari,2:22.400,MUS,FRA,43.2509,5.7901
Great Britain,Stirling  Moss ,Vanwall,1:59.200,MOS,GBR,52.0786,-1.0169
Germany,Juan Manuel  Fangio ,Maserati,9:17.400,FAN,DEU,49.3276,8.5625
Pescara,Stirling  Moss ,Vanwall,9:44.600,MOS,ITA,42.4643,14.2142
Italy,Tony  Brooks ,Vanwall,1:43.700,BRO,ITA,44.3406,11.7161
Argentina,Juan Manuel  Fangio ,Maserati,1:41.800,FAN,ARG,-34.6466,-58.3876
Monaco,Mike  Hawthorn ,Ferrari,1:40.600,HAW,MON,43.7347,7.4206
Netherlands,Stirling  Moss ,Vanwall,1:37.600,MOS,NED,52.3888,4.5409
Indianapolis 500,Tony Bettenhausen ,Epperly Offenhauser,1:02.370,BET,USA,39.795,-86.235
Belgium,Mike  Hawthorn ,Ferrari,3:58.300,HAW,BEL,50.4372,5.9714
France,Mike  Hawthorn ,Ferrari,2:24.900,HAW,FRA,43.2509,5.7901
Great Britain,Mike  Hawthorn ,Ferrari,1:40.800,HAW,GBR,52.0786,-1.0169
Germany,Stirling  Moss ,Vanwall,9:09.200,MOS,DEU,49.3276,8.5625
Portugal,Mike  Hawthorn ,Ferrari,2:32.270,HAW,POR,37.227,-8.6281
Italy,Phil  Hill ,Ferrari,1:42.900,HIL,ITA,44.3406,11.7161
Morocco,Stirling  Moss ,Vanwall,2:22.500,MOS,MAR,33.5899,-7.6039
Monaco,Jack  Brabham ,Cooper Climax,1:40.400,BRA,MON,43.7347,7.4206
Indianapolis 500,Johnny  Thomson ,Lesovsky Offenhauser,1:01.890,THO,USA,39.795,-86.235
Netherlands,Stirling  Moss ,Cooper Climax,1:36.700,MOS,NED,52.3888,4.5409
France,Stirling  Moss ,BRM,2:22.800,MOS,FRA,43.2509,5.7901
Great Britain,Stirling  Moss ,BRM,1:57.000,MOS,GBR,52.0786,-1.0169
Germany,Tony  Brooks ,Ferrari,2:04.500,BRO,DEU,49.3276,8.5625
Portugal,Stirling  Moss ,Cooper Climax,2:05.070,MOS,POR,37.227,-8.6281
Italy,Phil  Hill ,Ferrari,1:40.400,HIL,ITA,44.3406,11.7161
United States,Maurice Trintignant ,Cooper Climax,3:05.000,TRI,USA,30.1328,-97.6411
Argentina,Stirling  Moss ,Cooper Climax,1:38.900,MOS,ARG,-34.6466,-58.3876
Monaco,Bruce  McLaren ,Lotus Climax,1:36.200,MCL,MON,43.7347,7.4206
Indianapolis 500,Jim  Rathmann ,Watson Offenhauser,1:01.590,RAT,USA,39.795,-86.235
Netherlands,Stirling  Moss ,Lotus Climax,1:33.800,MOS,NED,52.3888,4.5409
Belgium,Phil  Hill ,Ferrari,3:51.900,HIL,BEL,50.4372,5.9714
France,Jack  Brabham ,Cooper Climax,2:17.500,BRA,FRA,43.2509,5.7901
Great Britain,Graham  Hill ,BRM,1:34.400,HIL,GBR,52.0786,-1.0169
